"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
bitcoin,33749.0,634818599656.2593,44136309489.04059,-6.410379139074691,1622311209,1,"2021-05-29 11:00:21"
bitcoin,33749.0,634818599656.2593,44136309489.04059,-6.410379139074691,1622311209,7,"2021-05-29 11:04:04"
bitcoin,34139.0,639555781904.5962,44915171913.2567,-5.752591481130109,1622314702,11,"2021-05-29 12:00:03"
bitcoin,34173.0,639758491189.2074,43929956523.792244,-4.6379066035823575,1622318300,16,"2021-05-29 13:00:04"
bitcoin,34164.0,642949178121.8687,43504649239.235504,-3.1073595718047846,1622321939,19,"2021-05-29 14:00:04"
bitcoin,34691.0,649458601209.4651,43853241762.97564,-1.0711462049303777,1622325575,22,"2021-05-29 15:00:04"
bitcoin,34333.0,642767215354.7273,42022169712.39887,-2.00070035651428,1622329118,28,"2021-05-29 16:00:04"
bitcoin,34395.0,642467729866.0674,41897966310.658775,-2.522768424271372,1622330279,30,"2021-05-29 16:18:49"
bitcoin,34595.0,644750058771.3306,42823912869.05148,-2.338406321429681,1622330535,34,"2021-05-29 16:22:32"
bitcoin,34595.0,644750058771.3306,42823912869.05148,-2.338406321429681,1622330535,37,"2021-05-29 16:23:40"
bitcoin,34644.0,644750058771.3306,42893952786.137085,-2.4340036163733707,1622330693,42,"2021-05-29 16:25:00"
bitcoin,34770.0,644750058771.3306,43082551143.94977,-2.0810949274010757,1622330859,47,"2021-05-29 16:28:54"
bitcoin,34974.0,654769644270.095,43409503263.34312,-2.4155694720646785,1622331596,51,"2021-05-29 16:42:46"
bitcoin,34899.0,654769644270.095,43329911312.63689,-2.625731700299912,1622331783,56,"2021-05-29 16:44:46"
bitcoin,34775.0,654239808356.6592,43184025044.772804,-2.618694308050234,1622332748,58,"2021-05-29 17:00:04"
bitcoin,33674.0,625857694699.9838,42552563147.036194,-7.18574043169725,1622336359,63,"2021-05-29 18:00:04"
bitcoin,34005.0,636633067542.6791,43021757717.57884,-6.417893875501535,1622339958,66,"2021-05-29 19:00:07"
bitcoin,34547.0,646766416328.2557,42721315394.496315,-5.060950537530207,1622343561,70,"2021-05-29 20:00:03"
bitcoin,35049.0,648742965908.4803,44128924761.29761,-3.6598744730496695,1622347116,75,"2021-05-29 21:00:04"
bitcoin,34790.0,654688071153.3091,43152790627.666756,-3.2393779239803946,1622350771,80,"2021-05-29 22:00:05"
bitcoin,35478.0,663129676872.1332,44205656862.06717,-3.931201137265975,1622354330,84,"2021-05-29 23:00:04"
bitcoin,35938.0,672815776265.2542,45231141017.8813,-1.8066541525569044,1622357888,87,"2021-05-30 00:00:04"
bitcoin,36128.0,676388319303.0214,45994880488.578636,-0.4131078570624911,1622361526,89,"2021-05-30 01:00:10"
bitcoin,35806.0,669721247432.0436,44650385120.05848,0.11616212728012085,1622365136,94,"2021-05-30 02:00:03"
bitcoin,36034.0,674631136878.4575,44672891104.53928,1.5892780974385248,1622368697,98,"2021-05-30 03:00:05"
bitcoin,35793.0,670111130341.8208,43136446370.69804,1.5116947303930164,1622372341,102,"2021-05-30 04:00:03"
bitcoin,36307.0,679735125756.9023,43877801210.77413,2.3865336987165433,1622375993,106,"2021-05-30 05:00:04"
bitcoin,35517.0,664944502392.1289,42887695835.68367,2.0172005197479024,1622379598,111,"2021-05-30 06:00:04"
bitcoin,35723.0,666250130924.3527,42013555425.42918,2.637623739138721,1622383027,114,"2021-05-30 07:00:04"
bitcoin,35362.0,662040978754.0321,38283337808.5384,2.467370531144037,1622386661,117,"2021-05-30 08:00:04"
bitcoin,35549.0,664967024331.6211,37821350098.88712,3.5303283346035017,1622389959,122,"2021-05-30 09:00:04"
bitcoin,35660.0,667623733117.834,34627539175.1196,2.373599779615642,1622393928,128,"2021-05-30 10:00:04"
bitcoin,36017.0,672072387354.9779,34657232230.5334,6.720574546036835,1622397539,131,"2021-05-30 11:00:04"
bitcoin,36272.0,679090316965.7125,34002055980.091423,6.112925425283555,1622401122,136,"2021-05-30 12:00:10"
bitcoin,36118.0,679393320860.3428,32613078471.3798,5.773729097556445,1622404713,138,"2021-05-30 13:00:04"
bitcoin,36162.0,676964668269.098,32689049547.816612,5.681941344730328,1622408399,144,"2021-05-30 14:00:05"
bitcoin,36136.0,676557545195.6786,32068532618.509914,4.16746925304712,1622411886,146,"2021-05-30 15:00:05"
bitcoin,35756.0,668327699451.8364,30605100844.164837,4.066036769319785,1622415526,151,"2021-05-30 16:00:04"
bitcoin,35715.0,667292495757.1445,30650274657.695255,2.7021436688475293,1622419096,154,"2021-05-30 17:00:05"
bitcoin,35377.0,662344412546.8746,29078913586.990818,3.85503919348962,1622422797,158,"2021-05-30 18:00:03"
bitcoin,34833.0,652157210491.4718,28524338003.836456,2.4538081479010665,1622426375,164,"2021-05-30 19:00:04"
bitcoin,34880.0,653040735784.2543,29572219396.341026,0.9652899975350823,1622429937,166,"2021-05-30 20:00:05"
bitcoin,34538.0,646643009008.0206,29591489732.873695,-1.0154646880232792,1622433536,170,"2021-05-30 21:00:04"
bitcoin,34538.0,646643009008.0206,29591489732.873695,-1.0154646880232792,1622433536,174,"2021-05-30 22:00:35"
bitcoin,34438.0,644762000266.8353,28749765096.37062,-2.931803111238769,1622440723,180,"2021-05-30 23:00:06"
bitcoin,35015.0,655579539941.7375,29692139756.795723,-2.556312822853084,1622444307,182,"2021-05-31 00:00:04"
bitcoin,35902.0,672177945787.2977,30633013052.904438,-0.4533349771194048,1622447979,186,"2021-05-31 01:00:09"
bitcoin,36223.0,678199698560.8164,31284243766.285442,1.3035393413210072,1622451576,189,"2021-05-31 02:00:06"
bitcoin,36023.0,674442927012.5591,31821363954.63285,-0.032233962831241296,1622455050,194,"2021-05-31 03:00:04"
bitcoin,36939.0,691595650587.3234,34067791825.905384,3.226236027350666,1622458782,200,"2021-05-31 04:00:16"
bitcoin,36972.0,692219701648.3284,33843200298.521317,1.8323311205981296,1622462324,203,"2021-05-31 05:00:05"
bitcoin,36815.0,689273776377.4321,34429367521.761055,3.6542751826978215,1622465883,208,"2021-05-31 06:00:05"
bitcoin,36900.0,690878739402.0063,35339586873.87336,3.2037588269472868,1622469480,212,"2021-05-31 07:00:05"
bitcoin,36728.0,687654620047.6671,35705042428.28213,3.8643470501622943,1622473043,214,"2021-05-31 08:00:04"
bitcoin,37055.0,693771682705.2876,36618692007.66684,4.240368420799586,1622476795,218,"2021-05-31 09:00:05"
bitcoin,37122.0,695040552745.9149,37187649954.543495,3.698544159886859,1622480378,223,"2021-05-31 10:00:05"
bitcoin,36912.0,691104852893.2092,36954618381.226494,2.484825069743255,1622483831,227,"2021-05-31 11:00:04"
bitcoin,36684.0,687633924382.9834,37418758606.41351,1.1360152794081388,1622487461,231,"2021-05-31 12:00:05"
bitcoin,36875.0,690421498481.522,37702259121.23748,2.1281020828005595,1622491182,236,"2021-05-31 13:00:04"
bitcoin,36652.0,686242366400.366,36636899017.101494,1.3557766026931244,1622494762,239,"2021-05-31 14:00:06"
bitcoin,36992.0,692613050303.118,37761240573.51375,2.5627732255430677,1622498322,244,"2021-05-31 15:00:04"
bitcoin,36911.0,691716491593.998,37238079730.18869,3.369010697136053,1622502002,245,"2021-05-31 16:00:04"
bitcoin,37341.0,699138611681.2975,37950798680.48171,4.483169014737552,1622505525,252,"2021-05-31 17:00:04"
bitcoin,37836.0,708421176083.7078,39438684894.730446,6.790246795259691,1622508772,254,"2021-05-31 18:00:04"
bitcoin,37836.0,708421176083.7078,39438684894.730446,6.790246795259691,1622508772,258,"2021-05-31 19:01:03"
bitcoin,36799.0,688996000934.0913,37690080205.46216,5.500785030719527,1622516243,263,"2021-05-31 20:00:03"
bitcoin,36722.0,687568867445.5265,38224848672.99042,6.188125498535145,1622519966,265,"2021-05-31 21:00:06"
bitcoin,36860.0,690136446755.4789,37307498699.82115,6.962421650107362,1622523477,269,"2021-05-31 22:00:05"
bitcoin,37381.0,699898712543.7645,38361629750.5018,8.546230270127767,1622527079,273,"2021-05-31 23:00:04"
bitcoin,36904.0,689801087115.4596,37028080434.721985,5.339026349482552,1622530798,277,"2021-06-01 00:00:05"
bitcoin,36800.0,688828303333.1129,35954195692.66866,2.229258910789296,1622533943,284,"2021-06-01 01:00:04"
