"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
bitcoin,33749.0,634818599656.2593,44136309489.04059,-6.410379139074691,1622311209,1,"2021-05-29 11:00:21"
ethereum,2269.23,264550142770.41248,46154650712.023476,-9.202646977253059,1622311205,2,"2021-05-29 11:00:21"
dogecoin,0.285772,37094434903.25727,3077711642.381808,-8.57825793273643,1622311172,3,"2021-05-29 11:00:21"
litecoin,159.74,10663347967.427187,5400276169.4764,-8.767496740413014,1622311105,4,"2021-05-29 11:00:21"
dogecoin,0.286503,37094434903.25727,3074716373.2994437,-8.131677429700316,1622311366,5,"2021-05-29 11:04:04"
litecoin,159.31,10663347967.427187,5343700990.546467,-9.16397902988538,1622311290,6,"2021-05-29 11:04:04"
bitcoin,33749.0,634818599656.2593,44136309489.04059,-6.410379139074691,1622311209,7,"2021-05-29 11:04:04"
ethereum,2269.23,264550142770.41248,46154650712.023476,-9.202646977253059,1622311205,8,"2021-05-29 11:04:04"
dogecoin,0.292745,38101695932.17275,3064182614.345879,-6.728871057989938,1622314746,9,"2021-05-29 12:00:03"
ethereum,2276.21,266264695347.31165,47082199680.680374,-10.320374010370992,1622314764,10,"2021-05-29 12:00:03"
bitcoin,34139.0,639555781904.5962,44915171913.2567,-5.752591481130109,1622314702,11,"2021-05-29 12:00:03"
litecoin,161.07,10790694096.069893,5333135702.401373,-10.96812882347684,1622314726,12,"2021-05-29 12:00:03"
litecoin,161.49,10779954292.589426,5335534988.33356,-10.575517647830935,1622318276,13,"2021-05-29 13:00:04"
ethereum,2266.97,263141424369.56607,47130365030.47548,-9.679620317418323,1622318319,14,"2021-05-29 13:00:04"
dogecoin,0.292972,38029014079.40809,3071397042.6145325,-7.064402627358573,1622318308,15,"2021-05-29 13:00:04"
bitcoin,34173.0,639758491189.2074,43929956523.792244,-4.6379066035823575,1622318300,16,"2021-05-29 13:00:04"
litecoin,160.22,10727600605.320175,5319708903.100256,-9.579232491789416,1622321983,17,"2021-05-29 14:00:04"
ethereum,2235.46,261866702046.67834,47122730992.81263,-8.313456354181477,1622321969,18,"2021-05-29 14:00:04"
bitcoin,34164.0,642949178121.8687,43504649239.235504,-3.1073595718047846,1622321939,19,"2021-05-29 14:00:04"
dogecoin,0.292804,38215228105.44575,3069978835.416361,-5.993549465550521,1622321959,20,"2021-05-29 14:00:04"
litecoin,163.18,10892899032.195118,5348610258.670072,-4.875459645907393,1622325498,21,"2021-05-29 15:00:04"
bitcoin,34691.0,649458601209.4651,43853241762.97564,-1.0711462049303777,1622325575,22,"2021-05-29 15:00:04"
dogecoin,0.298932,38802560137.70727,3096873997.3338237,-2.1690912653781873,1622325502,23,"2021-05-29 15:00:04"
ethereum,2275.74,261839563700.19873,46809075942.943474,-4.0857552004027164,1622325550,24,"2021-05-29 15:00:04"
litecoin,161.61,10787626671.295248,5268538735.738765,-6.542279624622996,1622329018,25,"2021-05-29 16:00:04"
dogecoin,0.296549,38493275403.393875,3028049293.553027,-2.9299352530043206,1622329090,26,"2021-05-29 16:00:04"
ethereum,2267.08,264451540264.87732,46432887416.06429,-5.32154898047442,1622329160,27,"2021-05-29 16:00:04"
bitcoin,34333.0,642767215354.7273,42022169712.39887,-2.00070035651428,1622329118,28,"2021-05-29 16:00:04"
dogecoin,0.297571,38458425477.77822,3036906402.7649183,-3.4166533474779976,1622330299,29,"2021-05-29 16:18:49"
bitcoin,34395.0,642467729866.0674,41897966310.658775,-2.522768424271372,1622330279,30,"2021-05-29 16:18:49"
litecoin,162.45,10825975557.337643,5292511165.564669,-6.867744811649541,1622330255,31,"2021-05-29 16:18:49"
ethereum,2274.76,263258857469.90396,46471530902.69238,-5.568430909041519,1622330328,32,"2021-05-29 16:18:49"
litecoin,162.95,10856078462.43403,5316553007.915535,-6.767031968612226,1622330530,33,"2021-05-29 16:22:32"
bitcoin,34595.0,644750058771.3306,42823912869.05148,-2.338406321429681,1622330535,34,"2021-05-29 16:22:32"
dogecoin,0.297702,38625892372.028465,3052162799.956048,-3.4768138853615724,1622330414,35,"2021-05-29 16:22:32"
ethereum,2276.02,264050249812.4404,46499103928.17379,-5.516239161591717,1622330437,36,"2021-05-29 16:22:32"
bitcoin,34595.0,644750058771.3306,42823912869.05148,-2.338406321429681,1622330535,37,"2021-05-29 16:23:40"
ethereum,2279.85,264050249812.4404,46585094356.42665,-5.3570532894246865,1622330601,38,"2021-05-29 16:23:40"
dogecoin,0.298278,38625892372.028465,3058277603.391373,-3.290184804967257,1622330570,39,"2021-05-29 16:23:40"
litecoin,162.95,10856078462.43403,5316553007.915535,-6.767031968612226,1622330530,40,"2021-05-29 16:23:40"
litecoin,162.95,10856078462.43403,5316553007.915535,-6.767031968612226,1622330530,41,"2021-05-29 16:25:00"
bitcoin,34644.0,644750058771.3306,42893952786.137085,-2.4340036163733707,1622330693,42,"2021-05-29 16:25:00"
ethereum,2279.85,264050249812.4404,46585094356.42665,-5.3570532894246865,1622330601,43,"2021-05-29 16:25:00"
dogecoin,0.298278,38625892372.028465,3058277603.391373,-3.290184804967257,1622330570,44,"2021-05-29 16:25:00"
dogecoin,0.298225,38625892372.028465,3315718003.781783,-3.20364699311664,1622330893,45,"2021-05-29 16:28:54"
litecoin,163.82,10856078462.43403,5361864971.053633,-6.272711589516098,1622330888,46,"2021-05-29 16:28:54"
bitcoin,34770.0,644750058771.3306,43082551143.94977,-2.0810949274010757,1622330859,47,"2021-05-29 16:28:54"
ethereum,2288.44,264050249812.4404,46797079564.03042,-5.065339081556732,1622330910,48,"2021-05-29 16:28:54"
ethereum,2313.62,269083644479.1758,47278531152.52635,-4.879691134476907,1622331692,49,"2021-05-29 16:42:46"
litecoin,165.55,11044153167.121761,5467739215.073831,-6.438250424843702,1622331615,50,"2021-05-29 16:42:46"
bitcoin,34974.0,654769644270.095,43409503263.34312,-2.4155694720646785,1622331596,51,"2021-05-29 16:42:46"
dogecoin,0.301992,39185790364.65373,3367835060.8523746,-2.80766138005815,1622331675,52,"2021-05-29 16:42:46"
litecoin,165.8,11044153167.121761,5477675585.142529,-6.296829246944516,1622331809,53,"2021-05-29 16:44:46"
ethereum,2327.95,269083644479.1758,47584808078.929405,-4.290352656087503,1622331842,54,"2021-05-29 16:44:46"
dogecoin,0.304003,39185790364.65373,3396202178.8256187,-2.160565280765071,1622331838,55,"2021-05-29 16:44:46"
bitcoin,34899.0,654769644270.095,43329911312.63689,-2.625731700299912,1622331783,56,"2021-05-29 16:44:46"
dogecoin,0.302704,39595872237.66896,3392384686.1813474,-2.8096282259925958,1622332764,57,"2021-05-29 17:00:04"
bitcoin,34775.0,654239808356.6592,43184025044.772804,-2.618694308050234,1622332748,58,"2021-05-29 17:00:04"
ethereum,2294.63,268672927561.12476,47141249182.27268,-5.54154485076076,1622332758,59,"2021-05-29 17:00:04"
litecoin,164.69,11080526075.170912,5413961215.550292,-6.852362705333714,1622332753,60,"2021-05-29 17:00:04"
ethereum,2222.39,254589110239.64047,46606611621.60171,-11.053531731490747,1622336370,61,"2021-05-29 18:00:04"
dogecoin,0.292187,37130369671.73664,3105263938.8532424,-7.1940684454189565,1622336349,62,"2021-05-29 18:00:04"
bitcoin,33674.0,625857694699.9838,42552563147.036194,-7.18574043169725,1622336359,63,"2021-05-29 18:00:04"
litecoin,158.37,10417965431.500286,5213286132.012252,-13.950429378423399,1622336377,64,"2021-05-29 18:00:04"
ethereum,2224.68,257421298901.71368,46710796334.95414,-11.662697382413828,1622339912,65,"2021-05-29 19:00:07"
bitcoin,34005.0,636633067542.6791,43021757717.57884,-6.417893875501535,1622339958,66,"2021-05-29 19:00:07"
dogecoin,0.29225,37937903971.337746,3433989142.0556993,-6.825165306944518,1622339944,67,"2021-05-29 19:00:07"
litecoin,158.55,10583503957.535755,5244689829.592225,-14.335038076002993,1622339952,68,"2021-05-29 19:00:07"
ethereum,2279.2,264246525868.02814,45216357847.60692,-9.389321226367095,1622343469,69,"2021-05-29 20:00:03"
bitcoin,34547.0,646766416328.2557,42721315394.496315,-5.060950537530207,1622343561,70,"2021-05-29 20:00:03"
dogecoin,0.295795,38398064293.57868,3193917450.232046,-5.814688604457182,1622343540,71,"2021-05-29 20:00:03"
litecoin,162.68,10859325650.293707,5378241600.159628,-12.493848936725202,1622343464,72,"2021-05-29 20:00:03"
litecoin,166.86,11003081875.127014,5581824493.560509,-10.292421940466086,1622347202,73,"2021-05-29 21:00:04"
dogecoin,0.300498,38557757295.742325,3278319687.682863,-4.502190542690042,1622347063,74,"2021-05-29 21:00:04"
bitcoin,35049.0,648742965908.4803,44128924761.29761,-3.6598744730496695,1622347116,75,"2021-05-29 21:00:04"
ethereum,2309.17,265894274723.4165,46163357163.671555,-8.636223722947918,1622347184,76,"2021-05-29 21:00:04"
dogecoin,0.30058,39019364550.33658,3310215825.7904177,-3.179729466575434,1622350800,77,"2021-05-29 22:00:05"
litecoin,167.3,11184664460.772543,5575108441.259118,-8.098571722317946,1622350678,78,"2021-05-29 22:00:05"
ethereum,2305.81,268586098022.9373,46441543432.966194,-7.14093548216981,1622350775,79,"2021-05-29 22:00:05"
bitcoin,34790.0,654688071153.3091,43152790627.666756,-3.2393779239803946,1622350771,80,"2021-05-29 22:00:05"
dogecoin,0.304395,39476047705.51089,3331123535.2035317,-3.8377480594830287,1622354367,81,"2021-05-29 23:00:04"
ethereum,2377.35,275677628489.8484,47475031573.11664,-6.739363831319801,1622354359,82,"2021-05-29 23:00:04"
litecoin,172.01,11465950076.296587,5697303060.379669,-6.546687596575171,1622354359,83,"2021-05-29 23:00:04"
bitcoin,35478.0,663129676872.1332,44205656862.06717,-3.931201137265975,1622354330,84,"2021-05-29 23:00:04"
litecoin,175.36,11705535274.633314,5774445538.96845,-3.8564914475027576,1622357908,85,"2021-05-30 00:00:04"
